date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2
2015-05-22,150.8308563232422,0.0,100000.0,100000.0,0.0,0.0,272.84521484375,0.0,100000.0,100000.0,0.0,0.0
2015-05-25,153.16029357910156,0.0,100000.0,100000.0,0.0,0.0,268.2084045410156,0.0,100000.0,100000.0,0.0,0.0
2015-05-26,154.7617645263672,0.0,100000.0,100000.0,0.0,0.0,267.72540283203125,0.0,100000.0,100000.0,0.0,0.0
2015-05-27,156.4117889404297,0.0,100000.0,100000.0,0.0,0.0,271.2030029296875,0.0,100000.0,100000.0,0.0,0.0
2015-05-28,155.39266967773438,0.0,100000.0,100000.0,0.0,0.0,271.54537963867193,0.0,100000.0,100000.0,0.0,0.0
2015-05-29,157.8191680908203,0.0,100000.0,100000.0,0.0,0.0,272.08334350585943,0.0,100000.0,100000.0,0.0,0.0
2015-06-01,160.34271240234375,0.0,100000.0,100000.0,0.0,0.0,272.13229370117193,0.0,100000.0,100000.0,0.0,0.0
2015-06-02,155.683837890625,0.0,100000.0,100000.0,0.0,0.0,260.44290161132807,0.0,100000.0,100000.0,0.0,0.0
2015-06-03,156.5088653564453,0.0,100000.0,100000.0,0.0,0.0,251.78594970703125,0.0,100000.0,100000.0,0.0,0.0
2015-06-04,156.9456329345703,0.0,100000.0,100000.0,0.0,0.0,251.9815826416016,0.0,100000.0,100000.0,0.0,0.0
2015-06-05,155.5382537841797,0.0,100000.0,100000.0,0.0,0.0,252.17721557617188,0.0,100000.0,100000.0,0.0,0.0
2015-06-08,151.21910095214844,0.0,100000.0,100000.0,0.0,0.0,249.389389038086,0.0,100000.0,100000.0,0.0,0.0
2015-06-09,148.6470184326172,0.0,100000.0,100000.0,0.0,0.0,251.9815826416016,0.0,100000.0,100000.0,0.0,0.0
2015-06-10,148.45289611816406,0.0,100000.0,100000.0,0.0,0.0,254.91616821289065,0.0,100000.0,100000.0,0.0,0.0
2015-06-11,144.1337432861328,0.0,100000.0,100000.0,0.0,0.0,248.4600982666016,0.0,100000.0,100000.0,0.0,0.0
